gene	keyTerm
Ddx17	nucleus
Ddx17	nucleoplasm
Ddx17	membrane
Ddx17	nucleic acid binding
Ddx17	transcription coactivator activity
Ddx17	ATP-dependent RNA helicase activity
Ddx17	helicase activity
Ddx17	ATP binding
Ddx17	estrogen receptor binding
Ddx17	poly(A) RNA binding
Ddx19a	Complete proteome
Ddx19a	Proteomics identification
Ddx19a	Reference proteome
Ddx19a	response to zinc ion
Ddx19a	positive regulation of apoptotic process
Ddx19a	nucleus
Ddx19a	cytoplasm
Ddx19a	membrane
Ddx19a	nucleic acid binding
Ddx19a	ATP binding
Ddx19b	Complete proteome
Ddx19b	Proteomics identification
Ddx19b	Reference proteome
Ddx19b	nucleus
Ddx19b	nuclear envelope
Ddx19b	cytoplasm
Ddx19b	membrane
Ddx19b	extracellular exosome
Ddx19b	nucleic acid binding
Ddx19b	ATP binding
Ddx3x	ATP-binding
Ddx3x	Complete proteome
Ddx3x	Helicase
Ddx3x	Hydrolase
Ddx3x	Nucleotide-binding
Ddx3x	Proteomics identification
Ddx3x	Reference proteome
Ddx3x	RIG-I-like receptor signaling pathway
Ddx3x	Hepatitis B
Ddx3x	Viral carcinogenesis
Ddx3x	translational initiation
Ddx3x	chromosome segregation
Ddx3x	extrinsic apoptotic signaling pathway via death domain receptors
Ddx3x	response to virus
Ddx3x	regulation of gene expression
Ddx3x	RNA secondary structure unwinding
Ddx3x	positive regulation of gene expression
Ddx3x	Wnt signaling pathway
Ddx3x	negative regulation of translation
Ddx3x	positive regulation of cell growth
Ddx3x	negative regulation of cell growth
Ddx3x	negative regulation of protein complex assembly
Ddx3x	DNA duplex unwinding
Ddx3x	stress granule assembly
Ddx3x	intracellular signal transduction
Ddx3x	mature ribosome assembly
Ddx3x	positive regulation of apoptotic process
Ddx3x	negative regulation of apoptotic process
Ddx3x	negative regulation of cysteine-type endopeptidase activity involved in apoptotic process
Ddx3x	positive regulation of cysteine-type endopeptidase activity involved in apoptotic process
Ddx3x	positive regulation of viral genome replication
Ddx3x	innate immune response
Ddx3x	positive regulation of translation
Ddx3x	positive regulation of transcription from RNA polymerase II promoter
Ddx3x	positive regulation of translational initiation
Ddx3x	cellular response to arsenic-containing substance
Ddx3x	cellular response to osmotic stress
Ddx3x	intrinsic apoptotic signaling pathway
Ddx3x	cell-cell adhesion
Ddx3x	positive regulation of G1/S transition of mitotic cell cycle
Ddx3x	protein localization to cytoplasmic stress granule
Ddx3x	negative regulation of intrinsic apoptotic signaling pathway
Ddx3x	nucleus
Ddx3x	cytoplasm
Ddx3x	eukaryotic translation initiation factor 3 complex
Ddx3x	cell-cell adherens junction
Ddx3x	cytoplasmic stress granule
Ddx3x	cytosolic small ribosomal subunit
Ddx3x	cytoplasmic ribonucleoprotein granule
Ddx3x	extracellular exosome
Ddx3x	nucleic acid binding
Ddx3x	DNA binding
Ddx3x	RNA binding
Ddx3x	GTPase activity
Ddx3x	ATP-dependent DNA helicase activity
Ddx3x	ATP-dependent RNA helicase activity
Ddx3x	helicase activity
Ddx3x	ATP binding
Ddx3x	transcription factor binding
Ddx3x	poly(A) binding
Ddx3x	eukaryotic initiation factor 4E binding
Ddx3x	ATPase activity
Ddx3x	nucleoside-triphosphatase activity
Ddx3x	translation initiation factor binding
Ddx3x	RNA stem-loop binding
Ddx3x	ribosomal small subunit binding
Ddx3x	CTPase activity
Ddx3x	poly(A) RNA binding
Ddx3x	mRNA 5'-UTR binding
Ddx3x	cadherin binding involved in cell-cell adhesion
Ddx42	Coiled coil
Ddx42	Complete proteome
Ddx42	Proteomics identification
Ddx42	Reference proteome
Ddx42	Spliceosome
Ddx42	protein localization
Ddx42	RNA secondary structure unwinding
Ddx42	nucleus
Ddx42	nucleoplasm
Ddx42	cytoplasm
Ddx42	membrane
Ddx42	ATP-dependent RNA helicase activity
Ddx42	ATP binding
Ddx42	poly(A) RNA binding
Ddx5	ATP-binding
Ddx5	Complete proteome
Ddx5	Helicase
Ddx5	Hydrolase
Ddx5	Nucleotide-binding
Ddx5	Proteomics identification
Ddx5	Reference proteome
Ddx5	Spliceosome
Ddx5	Transcriptional misregulation in cancer
Ddx5	Proteoglycans in cancer
Ddx5	negative regulation of transcription from RNA polymerase II promoter
Ddx5	regulation of alternative mRNA splicing
Ddx5	 via spliceosome
Ddx5	in utero embryonic development
Ddx5	regulation of transcription from RNA polymerase II promoter
Ddx5	circadian rhythm
Ddx5	mRNA transcription
Ddx5	RNA secondary structure unwinding
Ddx5	positive regulation of intracellular estrogen receptor signaling pathway
Ddx5	positive regulation of DNA damage response
Ddx5	 signal transduction by p53 class mediator
Ddx5	regulation of viral genome replication
Ddx5	regulation of osteoblast differentiation
Ddx5	positive regulation of transcription
Ddx5	 DNA-templated
Ddx5	positive regulation of transcription from RNA polymerase II promoter
Ddx5	regulation of androgen receptor signaling pathway
Ddx5	intrinsic apoptotic signaling pathway by p53 class mediator
Ddx5	regulation of skeletal muscle cell differentiation
Ddx5	nucleus
Ddx5	nucleoplasm
Ddx5	nucleolus
Ddx5	membrane
Ddx5	intracellular ribonucleoprotein complex
Ddx5	extracellular matrix
Ddx5	extracellular exosome
Ddx5	catalytic step 2 spliceosome
Ddx5	nucleic acid binding
Ddx5	transcription cofactor activity
Ddx5	transcription coactivator activity
Ddx5	RNA helicase activity
Ddx5	ATP-dependent RNA helicase activity
Ddx5	protein binding
Ddx5	calmodulin binding
Ddx5	ATP binding
Ddx5	enzyme binding
Ddx5	estrogen receptor binding
Ddx5	pre-mRNA binding
Ddx5	poly(A) RNA binding
Ddx5	calcium-dependent protein binding
Ddx5	androgen receptor binding
Ddx6	ATP-binding
Ddx6	Complete proteome
Ddx6	Helicase
Ddx6	Hydrolase
Ddx6	Nucleotide-binding
Ddx6	Proteomics identification
Ddx6	Reference proteome
Ddx6	RNA degradation
Ddx6	regulation of translation
Ddx6	spermatogenesis
Ddx6	RNA secondary structure unwinding
Ddx6	viral RNA genome packaging
Ddx6	stem cell population maintenance
Ddx6	cytoplasmic mRNA processing body assembly
Ddx6	negative regulation of neuron differentiation
Ddx6	cell-cell adhesion
Ddx6	heterochromatin
Ddx6	cytoplasmic mRNA processing body
Ddx6	outer dense fiber
Ddx6	nucleolus
Ddx6	cytoplasm
Ddx6	mitochondrion
Ddx6	cell-cell adherens junction
Ddx6	cytoplasmic stress granule
Ddx6	membrane
Ddx6	RISC complex
Ddx6	P granule
Ddx6	intracellular membrane-bounded organelle
Ddx6	sperm annulus
Ddx6	ATP-dependent RNA helicase activity
Ddx6	ATP binding
Ddx6	protein domain specific binding
Ddx6	poly(A) RNA binding
Ddx6	cadherin binding involved in cell-cell adhesion
Dhx36	ATP-binding
Dhx36	Complete proteome
Dhx36	Hydrolase
Dhx36	Nucleotide-binding
Dhx36	Proteomics identification
Dhx36	Reference proteome
Dhx36	RNA degradation
Dhx36	ossification
Dhx36	RNA processing
Dhx36	response to virus
Dhx36	RNA secondary structure unwinding
Dhx36	positive regulation of telomere maintenance
Dhx36	response to exogenous dsRNA
Dhx36	positive regulation of transcription from RNA polymerase II promoter
Dhx36	nucleus
Dhx36	cytoplasm
Dhx36	extracellular exosome
Dhx36	core promoter binding
Dhx36	G-quadruplex RNA binding
Dhx36	double-stranded RNA binding
Dhx36	ATP-dependent RNA helicase activity
Dhx36	ATP binding
Dhx36	DNA-dependent ATPase activity
Dhx36	histone deacetylase binding
Dhx36	transcription regulatory region DNA binding
Dhx36	poly(A) RNA binding
Dhx36	G-quadruplex DNA binding
Ddx21	Acetylation
Ddx21	ATP-binding
Ddx21	Complete proteome
Ddx21	Helicase
Ddx21	Hydrolase
Ddx21	Isopeptide bond
Ddx21	Nucleotide-binding
Ddx21	Nucleus
Ddx21	Phosphoprotein
Ddx21	Reference proteome
Ddx21	Repeat
Ddx21	RNA-binding
Ddx21	rRNA processing
Ddx21	Transcription
Ddx21	Ubl conjugation
Ddx21	osteoblast differentiation
Ddx21	rRNA processing
Ddx21	transcription from RNA polymerase II promoter
Ddx21	response to virus
Ddx21	RNA secondary structure unwinding
Ddx21	response to exogenous dsRNA
Ddx21	nucleus
Ddx21	nucleoplasm
Ddx21	nucleolus
Ddx21	membrane
Ddx21	double-stranded RNA binding
Ddx21	ATP-dependent RNA helicase activity
Ddx21	ATP binding
Ddx21	rRNA binding
Ddx21	snoRNA binding
Ddx21	poly(A) RNA binding
Ddx21	7SK snRNA binding
Ddx39b	Acetylation
Ddx39b	ATP-binding
Ddx39b	Complete proteome
Ddx39b	Cytoplasm
Ddx39b	Helicase
Ddx39b	Hydrolase
Ddx39b	Isopeptide bond
Ddx39b	mRNA processing
Ddx39b	mRNA splicing
Ddx39b	mRNA transport
Ddx39b	Nucleotide-binding
Ddx39b	Nucleus
Ddx39b	Phosphoprotein
Ddx39b	Proteomics identification
Ddx39b	Reference proteome
Ddx39b	RNA-binding
Ddx39b	Spliceosome
Ddx39b	Transport
Ddx39b	Ubl conjugation
Ddx39b	RNA transport
Ddx39b	mRNA surveillance pathway
Ddx39b	Spliceosome
Ddx39b	Influenza A
Ddx39b	spliceosomal complex assembly
Ddx39b	mRNA splicing
Ddx39b	 via spliceosome
Ddx39b	liver development
Ddx39b	mRNA export from nucleus
Ddx39b	cellular response to DNA damage stimulus
Ddx39b	RNA splicing
Ddx39b	RNA secondary structure unwinding
Ddx39b	positive regulation of DNA-templated transcription
Ddx39b	 elongation
Ddx39b	positive regulation of translation
Ddx39b	viral mRNA export from host cell nucleus
Ddx39b	positive regulation of cell growth involved in cardiac muscle cell development
Ddx39b	positive regulation of vascular smooth muscle cell proliferation
Ddx39b	negative regulation of DNA damage checkpoint
Ddx39b	positive regulation of DNA biosynthetic process
Ddx39b	transcription export complex
Ddx39b	nucleus
Ddx39b	nucleoplasm
Ddx39b	spliceosomal complex
Ddx39b	U4 snRNP
Ddx39b	U6 snRNP
Ddx39b	cytoplasm
Ddx39b	nuclear matrix
Ddx39b	nuclear speck
Ddx39b	protein complex
Ddx39b	nucleic acid binding
Ddx39b	ATP-dependent RNA helicase activity
Ddx39b	ATP binding
Ddx39b	RNA-dependent ATPase activity
Ddx39b	ATPase activity
Ddx39b	U6 snRNA binding
Ddx39b	U4 snRNA binding
Ddx39b	protein complex binding
Ddx39b	ATP-dependent protein binding
Ddx39b	poly(A) RNA binding
Dhx9	ATP-binding
Dhx9	Complete proteome
Dhx9	Hydrolase
Dhx9	Nucleotide-binding
Dhx9	Proteomics identification
Dhx9	Reference proteome
Dhx9	osteoblast differentiation
Dhx9	RNA processing
Dhx9	circadian rhythm
Dhx9	cellular response to heat
Dhx9	CRD-mediated mRNA stabilization
Dhx9	protein localization to cytoplasmic stress granule
Dhx9	nucleus
Dhx9	nucleoplasm
Dhx9	nucleolus
Dhx9	cytoplasm
Dhx9	centrosome
Dhx9	membrane
Dhx9	intracellular ribonucleoprotein complex
Dhx9	cytoplasmic ribonucleoprotein granule
Dhx9	CRD-mediated mRNA stability complex
Dhx9	nuclear stress granule
Dhx9	RNA polymerase II transcription factor binding
Dhx9	ATP-dependent RNA helicase activity
Dhx9	ATP binding
Dhx9	poly(A) RNA binding
Dis3l2	Cell cycle
Dis3l2	Cell division
Dis3l2	Complete proteome
Dis3l2	Cytoplasm
Dis3l2	Exonuclease
Dis3l2	Hydrolase
Dis3l2	Magnesium
Dis3l2	Manganese
Dis3l2	Metal-binding
Dis3l2	Mitosis
Dis3l2	Nuclease
Dis3l2	Proteomics identification
Dis3l2	Reference proteome
Dis3l2	RNA-binding
Dis3l2	Tumor suppressor
Dis3l2	nuclear-transcribed mRNA catabolic process
Dis3l2	 exonucleolytic
Dis3l2	rRNA processing
Dis3l2	mRNA catabolic process
Dis3l2	mitotic nuclear division
Dis3l2	negative regulation of cell proliferation
Dis3l2	miRNA catabolic process
Dis3l2	rRNA catabolic process
Dis3l2	stem cell population maintenance
Dis3l2	nuclear-transcribed mRNA catabolic process
Dis3l2	 exonucleolytic
Dis3l2	 3'-5'
Dis3l2	cell division
Dis3l2	mitotic sister chromatid separation
Dis3l2	RNA phosphodiester bond hydrolysis
Dis3l2	 exonucleolytic
Dis3l2	polyuridylation-dependent mRNA catabolic process
Dis3l2	nuclear exosome (RNase complex)
Dis3l2	cytoplasmic exosome (RNase complex)
Dis3l2	cytoplasmic mRNA processing body
Dis3l2	cytoplasm
Dis3l2	3'-5'-exoribonuclease activity
Dis3l2	magnesium ion binding
Dis3l2	RNA binding
Dis3l2	ribonuclease activity
Dis3l2	poly(U) RNA binding
Dis3l2	metal ion binding
Elavl1	Acetylation
Elavl1	Complete proteome
Elavl1	Cytoplasm
Elavl1	Methylation
Elavl1	Nucleus
Elavl1	Phosphoprotein
Elavl1	Reference proteome
Elavl1	Repeat
Elavl1	RNA-binding
Elavl1	AMPK signaling pathway
Elavl1	positive regulation of translation
Elavl1	mRNA stabilization
Elavl1	negative regulation of gene silencing by miRNA
Elavl1	3'-UTR-mediated mRNA stabilization
Elavl1	regulation of stem cell population maintenance
Elavl1	nucleus
Elavl1	nucleoplasm
Elavl1	cytoplasm
Elavl1	cytosol
Elavl1	membrane
Elavl1	ribonucleoprotein complex
Elavl1	nucleotide binding
Elavl1	RNA binding
Elavl1	double-stranded RNA binding
Elavl1	mRNA binding
Elavl1	mRNA 3'-UTR binding
Elavl1	protein binding
Elavl1	AU-rich element binding
Elavl1	protein kinase binding
Elavl1	mRNA 3'-UTR AU-rich region binding
Elavl1	protein homodimerization activity
Elavl1	poly(A) RNA binding
Ephb4	ATP-binding
Ephb4	Complete proteome
Ephb4	Kinase
Ephb4	Membrane
Ephb4	Nucleotide-binding
Ephb4	Receptor
Ephb4	Reference proteome
Ephb4	Repeat
Ephb4	Transferase
Ephb4	Transmembrane
Ephb4	Transmembrane helix
Ephb4	Tyrosine-protein kinase
Ephb4	Axon guidance
Ephb4	angiogenesis
Ephb4	cell migration involved in sprouting angiogenesis
Ephb4	heart morphogenesis
Ephb4	cell adhesion
Ephb4	peptidyl-tyrosine phosphorylation
Ephb4	protein autophosphorylation
Ephb4	ephrin receptor signaling pathway
Ephb4	venous blood vessel morphogenesis
Ephb4	positive regulation of aorta morphogenesis
Ephb4	positive regulation of T cell costimulation
Ephb4	integral component of plasma membrane
Ephb4	extracellular exosome
Ephb4	transmembrane receptor protein tyrosine kinase activity
Ephb4	ephrin receptor activity
Ephb4	ATP binding
Ewsr1	Complete proteome
Ewsr1	Metal-binding
Ewsr1	Proteomics identification
Ewsr1	Reference proteome
Ewsr1	Zinc
Ewsr1	Zinc-finger
Ewsr1	Transcriptional misregulation in cancer
Ewsr1	nucleus
Ewsr1	nucleolus
Ewsr1	cytoplasm
Ewsr1	Cajal body
Ewsr1	nucleotide binding
Ewsr1	RNA binding
Ewsr1	zinc ion binding
Ewsr1	identical protein binding
Ewsr1	poly(A) RNA binding
Fxr1	Acetylation
Fxr1	Complete proteome
Fxr1	Cytoplasm
Fxr1	Developmental protein
Fxr1	Differentiation
Fxr1	Methylation
Fxr1	Myogenesis
Fxr1	Phosphoprotein
Fxr1	Proteomics identification
Fxr1	Reference proteome
Fxr1	Repeat
Fxr1	RNA-binding
Fxr1	RNA transport
Fxr1	muscle organ development
Fxr1	negative regulation of translation
Fxr1	cell differentiation
Fxr1	positive regulation of gene silencing by miRNA
Fxr1	nucleus
Fxr1	cytoplasm
Fxr1	polysome
Fxr1	membrane
Fxr1	axon
Fxr1	dendrite
Fxr1	ribonucleoprotein granule
Fxr1	costamere
Fxr1	dendritic spine
Fxr1	perinuclear region of cytoplasm
Fxr1	G-quadruplex RNA binding
Fxr1	mRNA binding
Fxr1	mRNA 3'-UTR binding
Fxr1	RNA strand annealing activity
Fxr1	protein homodimerization activity
Fxr1	poly(A) RNA binding
Fxr1	protein heterodimerization activity
G3bp1	Complete proteome
G3bp1	Proteomics identification
G3bp1	Reference proteome
G3bp1	transport
G3bp1	negative regulation of canonical Wnt signaling pathway
G3bp1	cytoplasm
G3bp1	cytosol
G3bp1	focal adhesion
G3bp1	cytoplasmic stress granule
G3bp1	intracellular ribonucleoprotein complex
G3bp1	nucleotide binding
G3bp1	mRNA binding
G3bp1	poly(A) RNA binding
G3bp2	Complete proteome
G3bp2	Proteomics identification
G3bp2	Reference proteome
G3bp2	transport
G3bp2	cytoplasm
G3bp2	cytosol
G3bp2	intracellular ribonucleoprotein complex
G3bp2	nucleotide binding
G3bp2	mRNA binding
G3bp2	poly(A) RNA binding
Khdrbs1	Acetylation
Khdrbs1	Cell cycle
Khdrbs1	Complete proteome
Khdrbs1	Isopeptide bond
Khdrbs1	Membrane
Khdrbs1	Methylation
Khdrbs1	mRNA processing
Khdrbs1	Nucleus
Khdrbs1	Phosphoprotein
Khdrbs1	Reference proteome
Khdrbs1	RNA-binding
Khdrbs1	SH3-binding
Khdrbs1	Transcription
Khdrbs1	Transcription regulation
Khdrbs1	Ubl conjugation
Khdrbs1	G2/M transition of mitotic cell cycle
Khdrbs1	transcription
Khdrbs1	 DNA-templated
Khdrbs1	mRNA processing
Khdrbs1	cell surface receptor signaling pathway
Khdrbs1	regulation of signal transduction
Khdrbs1	positive regulation of signal transduction
Khdrbs1	regulation of protein stability
Khdrbs1	negative regulation of transcription
Khdrbs1	 DNA-templated
Khdrbs1	positive regulation of translational initiation
Khdrbs1	regulation of RNA export from nucleus
Khdrbs1	positive regulation of RNA export from nucleus
Khdrbs1	regulation of mRNA splicing
Khdrbs1	 via spliceosome
Khdrbs1	nucleus
Khdrbs1	nucleoplasm
Khdrbs1	cytoplasm
Khdrbs1	membrane
Khdrbs1	Grb2-Sos complex
Khdrbs1	RNA binding
Khdrbs1	SH3/SH2 adaptor activity
Khdrbs1	protein binding
Khdrbs1	poly(A) binding
Khdrbs1	poly(U) RNA binding
Khdrbs1	SH3 domain binding
Khdrbs1	protein complex binding
Khdrbs1	identical protein binding
Khdrbs1	poly(A) RNA binding
Khsrp	Acetylation
Khsrp	Complete proteome
Khsrp	Cytoplasm
Khsrp	Direct protein sequencing
Khsrp	DNA-binding
Khsrp	Isopeptide bond
Khsrp	Methylation
Khsrp	mRNA processing
Khsrp	mRNA splicing
Khsrp	mRNA transport
Khsrp	Nucleus
Khsrp	Phosphoprotein
Khsrp	Proteomics identification
Khsrp	Reference proteome
Khsrp	Repeat
Khsrp	RNA-binding
Khsrp	Transcription
Khsrp	Transcription regulation
Khsrp	Transport
Khsrp	Ubl conjugation
Khsrp	transcription
Khsrp	 DNA-templated
Khsrp	regulation of transcription
Khsrp	 DNA-templated
Khsrp	mRNA processing
Khsrp	mRNA catabolic process
Khsrp	RNA splicing
Khsrp	regulation of mRNA stability
Khsrp	negative regulation of nitric oxide biosynthetic process
Khsrp	mRNA transport
Khsrp	positive regulation of mRNA catabolic process
Khsrp	3'-UTR-mediated mRNA destabilization
Khsrp	cellular response to cytokine stimulus
Khsrp	regulation of miRNA metabolic process
Khsrp	nucleus
Khsrp	nucleoplasm
Khsrp	cytoplasm
Khsrp	cytoplasmic stress granule
Khsrp	membrane
Khsrp	dendrite
Khsrp	neuronal cell body
Khsrp	DNA binding
Khsrp	RNA binding
Khsrp	mRNA binding
Khsrp	mRNA 3'-UTR binding
Khsrp	protein binding
Khsrp	mRNA 3'-UTR AU-rich region binding
Khsrp	poly(A) RNA binding
Lsm2	Complete proteome
Lsm2	Proteomics identification
Lsm2	Reference proteome
Lsm2	RNA degradation
Lsm2	Spliceosome
Lsm2	mRNA splicing
Lsm2	 via spliceosome
Lsm2	mRNA processing
Lsm2	cytoplasmic mRNA processing body
Lsm2	U6 snRNP
Lsm2	U4/U6 x U5 tri-snRNP complex
Lsm2	precatalytic spliceosome
Lsm2	catalytic step 2 spliceosome
Lsm2	Lsm1-7-Pat1 complex
Lsm2	RNA binding
Lsm2	Ral GTPase binding
Lsm2	protein kinase binding
Lsm2	poly(A) RNA binding
Lsm3	Complete proteome
Lsm3	Proteomics identification
Lsm3	Reference proteome
Lsm3	RNA degradation
Lsm3	Spliceosome
Lsm3	mRNA splicing
Lsm3	 via spliceosome
Lsm3	cytoplasmic mRNA processing body assembly
Lsm3	cytoplasmic mRNA processing body
Lsm3	U6 snRNP
Lsm3	U4/U6 x U5 tri-snRNP complex
Lsm3	precatalytic spliceosome
Lsm3	catalytic step 2 spliceosome
Lsm3	Lsm1-7-Pat1 complex
Lsm3	RNA binding
Lsm3	poly(A) RNA binding
Lsm5	Complete proteome
Lsm5	Reference proteome
Lsm5	RNA degradation
Lsm5	Spliceosome
Lsm5	mRNA splicing
Lsm5	 via spliceosome
Lsm5	nuclear-transcribed mRNA catabolic process
Lsm5	U6 snRNP
Lsm5	U4/U6 x U5 tri-snRNP complex
Lsm5	Lsm1-7-Pat1 complex
Lsm5	RNA binding
Lsm8	Complete proteome
Lsm8	Proteomics identification
Lsm8	Reference proteome
Lsm8	RNA degradation
Lsm8	Spliceosome
Lsm8	mRNA splicing
Lsm8	 via spliceosome
Lsm8	U4/U6 x U5 tri-snRNP complex
Lsm8	RNA binding
Lsm8	poly(A) RNA binding
Larp1	Complete proteome
Larp1	Proteomics identification
Larp1	Reference proteome
Larp1	translational initiation
Larp1	cell proliferation
Larp1	positive regulation of macroautophagy
Larp1	TOR signaling
Larp1	positive regulation of viral genome replication
Larp1	positive regulation of translation
Larp1	cell-cell adhesion
Larp1	nucleoplasm
Larp1	cytoplasm
Larp1	cell-cell adherens junction
Larp1	membrane
Larp1	TORC1 complex
Larp1	RNA cap binding
Larp1	mRNA 3'-UTR binding
Larp1	eukaryotic initiation factor 4E binding
Larp1	translation activator activity
Larp1	translation initiation factor binding
Larp1	poly(A) RNA binding
Larp1	mRNA 5'-UTR binding
Larp1	cadherin binding involved in cell-cell adhesion
Larp4	cytoskeleton organization
Larp4	regulation of cell morphogenesis
Larp4	membrane
Larp4	poly(A) RNA binding
Larp4b	Complete proteome
Larp4b	Proteomics identification
Larp4b	Reference proteome
Larp4b	positive regulation of translation
Larp4b	nucleolus
Larp4b	cytoplasm
Larp4b	cytosol
Larp4b	cytoplasmic stress granule
Larp4b	membrane
Larp4b	polysomal ribosome
Larp4b	nucleotide binding
Larp4b	poly(A) RNA binding
Nhp2l1	Acetylation
Nhp2l1	Complete proteome
Nhp2l1	mRNA processing
Nhp2l1	mRNA splicing
Nhp2l1	Nucleus
Nhp2l1	Phosphoprotein
Nhp2l1	Reference proteome
Nhp2l1	Ribonucleoprotein
Nhp2l1	RNA-binding
Nhp2l1	Spliceosome
Nhp2l1	Ribosome biogenesis in eukaryotes
Nhp2l1	Spliceosome
Nhp2l1	mRNA splicing
Nhp2l1	 via spliceosome
Nhp2l1	maturation of LSU-rRNA
Nhp2l1	translation
Nhp2l1	single fertilization
Nhp2l1	maturation of SSU-rRNA
Nhp2l1	dense fibrillar component
Nhp2l1	nucleolus
Nhp2l1	cytosolic large ribosomal subunit
Nhp2l1	box C/D snoRNP complex
Nhp2l1	small-subunit processome
Nhp2l1	protein complex
Nhp2l1	U4/U6 x U5 tri-snRNP complex
Nhp2l1	precatalytic spliceosome
Nhp2l1	RNA binding
Nhp2l1	snoRNA binding
Nhp2l1	U4 snRNA binding
Nhp2l1	U4atac snRNA binding
Nhp2l1	U3 snoRNA binding
