gene	ProteinNames	IntensityEpith	IntensityFibers	iBAQEpith	rankEpith	iBAQFibers	rankFibers	LFQEpith	LFQFibers	MsMsEpith	MsMsFibers	UniprotID	MGIGeneNames	Biologicalprocess	Cellularcomponent	Codingsequence diversity	Developmentalstage	Disease	Domain	Ligand	Molecularfunction	PTM	Technicalterm	BiologicalProcess	CellularComponent	MolecularFunction	CCPathway	PWMavailable	tissue	level	group
Carhsp1	Calcium-regulated heat stable protein 1	921460000	2147500000	131640000	244	306790000	72	2491300000	10920000000	19	21	Carhsp1	Carhsp1	na	Cytoplasm	na	na	na	na	na	RNA-binding	Acetylation; Phosphoprotein	na	regulation of mRNA stability {GO:0043488}; regulation of transcription, DNA-templated {GO:0006355}	cytosol {GO:0005829}; extracellular exosome {GO:0070062}; P granule {GO:0043186}; P-body {GO:0000932}	DNA binding {GO:0003677}; mRNA 3'-UTR binding {GO:0003730}	na	TRUE	both	group3	mRNA binding
Carhsp1	Calcium-regulated heat stable protein 1	921460000	2147500000	131640000	244	306790000	72	2491300000	10920000000	19	21	Carhsp1	Carhsp1	na	Cytoplasm	na	na	na	na	na	RNA-binding	Acetylation; Phosphoprotein	na	regulation of mRNA stability {GO:0043488}; regulation of transcription, DNA-templated {GO:0006355}	cytosol {GO:0005829}; extracellular exosome {GO:0070062}; P granule {GO:0043186}; P-body {GO:0000932}	DNA binding {GO:0003677}; mRNA 3'-UTR binding {GO:0003730}	na	TRUE	both	group3	mRNA binding
Carhsp1	Calcium-regulated heat stable protein 1	921460000	2147500000	131640000	244	306790000	72	2491300000	10920000000	19	21	Carhsp1	Carhsp1	na	Cytoplasm	na	na	na	na	na	RNA-binding	Acetylation; Phosphoprotein	na	regulation of mRNA stability {GO:0043488}; regulation of transcription, DNA-templated {GO:0006355}	cytosol {GO:0005829}; extracellular exosome {GO:0070062}; P granule {GO:0043186}; P-body {GO:0000932}	DNA binding {GO:0003677}; mRNA 3'-UTR binding {GO:0003730}	na	TRUE	both	group3	mRNA binding
Carhsp1	Calcium-regulated heat stable protein 1	921460000	2147500000	131640000	244	306790000	72	2491300000	10920000000	19	21	Carhsp1	Carhsp1	na	Cytoplasm	na	na	na	na	na	RNA-binding	Acetylation; Phosphoprotein	na	regulation of mRNA stability {GO:0043488}; regulation of transcription, DNA-templated {GO:0006355}	cytosol {GO:0005829}; extracellular exosome {GO:0070062}; P granule {GO:0043186}; P-body {GO:0000932}	DNA binding {GO:0003677}; mRNA 3'-UTR binding {GO:0003730}	na	TRUE	both	group3	mRNA binding
Eef1g	Elongation factor 1-gamma	5661300000	5838100000	235890000	139	243250000	82	13359000000	27856000000	99	77	Eef1g	Eef1g	Protein biosynthesis	na	na	na	na	na	na	Elongation factor	Acetylation; Isopeptide bond; Ubl conjugation	na	glutathione metabolic process {GO:0006749}; response to virus {GO:0009615}	cytoplasm {GO:0005737}; endoplasmic reticulum {GO:0005783}; extracellular exosome {GO:0070062}; membrane {GO:0016020}; nucleus {GO:0005634}	cadherin binding {GO:0045296}; glutathione transferase activity {GO:0004364}; translation elongation factor activity {GO:0003746}	na	TRUE	both	group3	mRNA binding
Hnrnpk	Heterogeneous nuclear ribonucleoprotein K	20484000000	4115300000	890610000	50	178930000	112	53044000000	20973000000	121	49	Hnrnpk	Hnrnpk	Transcription; Transcription regulation; mRNA processing; mRNA splicing	Cell junction; Cell projection; Cytoplasm; Nucleus; Spliceosome	Alternative splicing	na	na	Repeat	na	Activator; DNA-binding; RNA-binding; Repressor; Ribonucleoprotein	Acetylation; Glycoprotein; Isopeptide bond; Methylation; Phosphoprotein; Ubl conjugation	na	mRNA processing {GO:0006397}; negative regulation of apoptotic process {GO:0043066}; negative regulation of mRNA splicing, via spliceosome {GO:0048025}; positive regulation of low-density lipoprotein particle receptor biosynthetic process {GO:0045716}; positive regulation of receptor-mediated endocytosis {GO:0048260}; positive regulation of transcription from RNA polymerase II promoter {GO:0045944}; regulation of intrinsic apoptotic signaling pathway in response to DNA damage by p53 class mediator {GO:1902165}; regulation of lipid transport by positive regulation of transcription from RNA polymerase II promoter {GO:0072369}; regulation of low-density lipoprotein particle clearance {GO:0010988}; RNA splicing {GO:0008380}	catalytic step 2 spliceosome {GO:0071013}; cell projection {GO:0042995}; cytoplasm {GO:0005737}; extracellular exosome {GO:0070062}; extracellular matrix {GO:0031012}; focal adhesion {GO:0005925}; membrane {GO:0016020}; nuclear chromatin {GO:0000790}; nucleoplasm {GO:0005654}; podosome {GO:0002102}	cadherin binding {GO:0045296}; identical protein binding {GO:0042802}; protein domain specific binding {GO:0019904}; RNA binding {GO:0003723}; RNA polymerase II core promoter proximal region sequence-specific DNA binding {GO:0000978}; transcriptional activator activity, RNA polymerase II core promoter proximal region sequence-specific binding {GO:0001077}	na	TRUE	both	group3	mRNA binding
Hnrnpk	Heterogeneous nuclear ribonucleoprotein K	20484000000	4115300000	890610000	50	178930000	112	53044000000	20973000000	121	49	Hnrnpk	Hnrnpk	Transcription; Transcription regulation; mRNA processing; mRNA splicing	Cell junction; Cell projection; Cytoplasm; Nucleus; Spliceosome	Alternative splicing	na	na	Repeat	na	Activator; DNA-binding; RNA-binding; Repressor; Ribonucleoprotein	Acetylation; Glycoprotein; Isopeptide bond; Methylation; Phosphoprotein; Ubl conjugation	na	mRNA processing {GO:0006397}; negative regulation of apoptotic process {GO:0043066}; negative regulation of mRNA splicing, via spliceosome {GO:0048025}; positive regulation of low-density lipoprotein particle receptor biosynthetic process {GO:0045716}; positive regulation of receptor-mediated endocytosis {GO:0048260}; positive regulation of transcription from RNA polymerase II promoter {GO:0045944}; regulation of intrinsic apoptotic signaling pathway in response to DNA damage by p53 class mediator {GO:1902165}; regulation of lipid transport by positive regulation of transcription from RNA polymerase II promoter {GO:0072369}; regulation of low-density lipoprotein particle clearance {GO:0010988}; RNA splicing {GO:0008380}	catalytic step 2 spliceosome {GO:0071013}; cell projection {GO:0042995}; cytoplasm {GO:0005737}; extracellular exosome {GO:0070062}; extracellular matrix {GO:0031012}; focal adhesion {GO:0005925}; membrane {GO:0016020}; nuclear chromatin {GO:0000790}; nucleoplasm {GO:0005654}; podosome {GO:0002102}	cadherin binding {GO:0045296}; identical protein binding {GO:0042802}; protein domain specific binding {GO:0019904}; RNA binding {GO:0003723}; RNA polymerase II core promoter proximal region sequence-specific DNA binding {GO:0000978}; transcriptional activator activity, RNA polymerase II core promoter proximal region sequence-specific binding {GO:0001077}	na	TRUE	both	group3	mRNA binding
Hnrnpk	Heterogeneous nuclear ribonucleoprotein K	20484000000	4115300000	890610000	50	178930000	112	53044000000	20973000000	121	49	Hnrnpk	Hnrnpk	Transcription; Transcription regulation; mRNA processing; mRNA splicing	Cell junction; Cell projection; Cytoplasm; Nucleus; Spliceosome	Alternative splicing	na	na	Repeat	na	Activator; DNA-binding; RNA-binding; Repressor; Ribonucleoprotein	Acetylation; Glycoprotein; Isopeptide bond; Methylation; Phosphoprotein; Ubl conjugation	na	mRNA processing {GO:0006397}; negative regulation of apoptotic process {GO:0043066}; negative regulation of mRNA splicing, via spliceosome {GO:0048025}; positive regulation of low-density lipoprotein particle receptor biosynthetic process {GO:0045716}; positive regulation of receptor-mediated endocytosis {GO:0048260}; positive regulation of transcription from RNA polymerase II promoter {GO:0045944}; regulation of intrinsic apoptotic signaling pathway in response to DNA damage by p53 class mediator {GO:1902165}; regulation of lipid transport by positive regulation of transcription from RNA polymerase II promoter {GO:0072369}; regulation of low-density lipoprotein particle clearance {GO:0010988}; RNA splicing {GO:0008380}	catalytic step 2 spliceosome {GO:0071013}; cell projection {GO:0042995}; cytoplasm {GO:0005737}; extracellular exosome {GO:0070062}; extracellular matrix {GO:0031012}; focal adhesion {GO:0005925}; membrane {GO:0016020}; nuclear chromatin {GO:0000790}; nucleoplasm {GO:0005654}; podosome {GO:0002102}	cadherin binding {GO:0045296}; identical protein binding {GO:0042802}; protein domain specific binding {GO:0019904}; RNA binding {GO:0003723}; RNA polymerase II core promoter proximal region sequence-specific DNA binding {GO:0000978}; transcriptional activator activity, RNA polymerase II core promoter proximal region sequence-specific binding {GO:0001077}	na	TRUE	both	group3	pre-mRNA binding
Hnrnpk	Heterogeneous nuclear ribonucleoprotein K	20484000000	4115300000	890610000	50	178930000	112	53044000000	20973000000	121	49	Hnrnpk	Hnrnpk	Transcription; Transcription regulation; mRNA processing; mRNA splicing	Cell junction; Cell projection; Cytoplasm; Nucleus; Spliceosome	Alternative splicing	na	na	Repeat	na	Activator; DNA-binding; RNA-binding; Repressor; Ribonucleoprotein	Acetylation; Glycoprotein; Isopeptide bond; Methylation; Phosphoprotein; Ubl conjugation	na	mRNA processing {GO:0006397}; negative regulation of apoptotic process {GO:0043066}; negative regulation of mRNA splicing, via spliceosome {GO:0048025}; positive regulation of low-density lipoprotein particle receptor biosynthetic process {GO:0045716}; positive regulation of receptor-mediated endocytosis {GO:0048260}; positive regulation of transcription from RNA polymerase II promoter {GO:0045944}; regulation of intrinsic apoptotic signaling pathway in response to DNA damage by p53 class mediator {GO:1902165}; regulation of lipid transport by positive regulation of transcription from RNA polymerase II promoter {GO:0072369}; regulation of low-density lipoprotein particle clearance {GO:0010988}; RNA splicing {GO:0008380}	catalytic step 2 spliceosome {GO:0071013}; cell projection {GO:0042995}; cytoplasm {GO:0005737}; extracellular exosome {GO:0070062}; extracellular matrix {GO:0031012}; focal adhesion {GO:0005925}; membrane {GO:0016020}; nuclear chromatin {GO:0000790}; nucleoplasm {GO:0005654}; podosome {GO:0002102}	cadherin binding {GO:0045296}; identical protein binding {GO:0042802}; protein domain specific binding {GO:0019904}; RNA binding {GO:0003723}; RNA polymerase II core promoter proximal region sequence-specific DNA binding {GO:0000978}; transcriptional activator activity, RNA polymerase II core promoter proximal region sequence-specific binding {GO:0001077}	na	TRUE	both	group3	pre-mRNA binding
Eif4a1	Eukaryotic initiation factor 4A-I	3704900000	3765500000	161080000	212	163720000	115	11736000000	24918000000	102	61	Eif4a1	Eif4a1	Protein biosynthesis	na	na	na	na	na	ATP-binding; Nucleotide-binding	Helicase; Hydrolase; Initiation factor; RNA-binding	Acetylation; Isopeptide bond; Phosphoprotein; Ubl conjugation	na	regulation of gene expression {GO:0010468}; RNA secondary structure unwinding {GO:0010501}; translational initiation {GO:0006413}	cytoplasm {GO:0005737}; extracellular exosome {GO:0070062}; extracellular matrix {GO:0031012}; membrane {GO:0016020}; nucleolus {GO:0005730}	ATP binding {GO:0005524}; ATP-dependent RNA helicase activity {GO:0004004}; double-stranded RNA binding {GO:0003725}; RNA binding {GO:0003723}; translation initiation factor activity {GO:0003743}	na	FALSE	both	group3	mRNA binding
Eif4a1	Eukaryotic initiation factor 4A-I	3704900000	3765500000	161080000	212	163720000	115	11736000000	24918000000	102	61	Eif4a1	Eif4a1	Protein biosynthesis	na	na	na	na	na	ATP-binding; Nucleotide-binding	Helicase; Hydrolase; Initiation factor; RNA-binding	Acetylation; Isopeptide bond; Phosphoprotein; Ubl conjugation	na	regulation of gene expression {GO:0010468}; RNA secondary structure unwinding {GO:0010501}; translational initiation {GO:0006413}	cytoplasm {GO:0005737}; extracellular exosome {GO:0070062}; extracellular matrix {GO:0031012}; membrane {GO:0016020}; nucleolus {GO:0005730}	ATP binding {GO:0005524}; ATP-dependent RNA helicase activity {GO:0004004}; double-stranded RNA binding {GO:0003725}; RNA binding {GO:0003723}; translation initiation factor activity {GO:0003743}	na	FALSE	both	group3	mRNA binding
Eif4a1	Eukaryotic initiation factor 4A-I	3704900000	3765500000	161080000	212	163720000	115	11736000000	24918000000	102	61	Eif4a1	Eif4a1	Protein biosynthesis	na	na	na	na	na	ATP-binding; Nucleotide-binding	Helicase; Hydrolase; Initiation factor; RNA-binding	Acetylation; Isopeptide bond; Phosphoprotein; Ubl conjugation	na	regulation of gene expression {GO:0010468}; RNA secondary structure unwinding {GO:0010501}; translational initiation {GO:0006413}	cytoplasm {GO:0005737}; extracellular exosome {GO:0070062}; extracellular matrix {GO:0031012}; membrane {GO:0016020}; nucleolus {GO:0005730}	ATP binding {GO:0005524}; ATP-dependent RNA helicase activity {GO:0004004}; double-stranded RNA binding {GO:0003725}; RNA binding {GO:0003723}; translation initiation factor activity {GO:0003743}	na	FALSE	both	group3	mRNA binding
Eif4a1	Eukaryotic initiation factor 4A-I	3704900000	3765500000	161080000	212	163720000	115	11736000000	24918000000	102	61	Eif4a1	Eif4a1	Protein biosynthesis	na	na	na	na	na	ATP-binding; Nucleotide-binding	Helicase; Hydrolase; Initiation factor; RNA-binding	Acetylation; Isopeptide bond; Phosphoprotein; Ubl conjugation	na	regulation of gene expression {GO:0010468}; RNA secondary structure unwinding {GO:0010501}; translational initiation {GO:0006413}	cytoplasm {GO:0005737}; extracellular exosome {GO:0070062}; extracellular matrix {GO:0031012}; membrane {GO:0016020}; nucleolus {GO:0005730}	ATP binding {GO:0005524}; ATP-dependent RNA helicase activity {GO:0004004}; double-stranded RNA binding {GO:0003725}; RNA binding {GO:0003723}; translation initiation factor activity {GO:0003743}	na	FALSE	both	group3	mRNA binding
